Case 1:
wJJv Lh (2713)
Lh ekFp (1912)
ekFp jlnTb (3443)
Case 11:
* Query 1
rLqp zKIKXMD (17336)
zKIKXMD MIOOpxjK (8856)
MIOOpxjK ueIqwja (2863)
ueIqwja ivfFTH (1565)
ivfFTH VTrpTJ (2136)
VTrpTJ DkjgRIwcxq (7994)
DkjgRIwcxq gKIZCDrGx (3660)
gKIZCDrGx bDiLlCen (664)
bDiLlCen cwkKt (5369)
cwkKt TtHqiPf (658)
TtHqiPf XBOhAhlcZO (5129)
XBOhAhlcZO vrBcFX (5961)
* Query 2
Fmezc nDFhIsoLX (15313)
nDFhIsoLX twzkPDPvbO (420)
twzkPDPvbO BZmZn (13251)
BZmZn TUWP (10813)
* Query 3
ITLaDZxsW Fmezc (10168)
Fmezc nDFhIsoLX (15313)
nDFhIsoLX twzkPDPvbO (420)
twzkPDPvbO BZmZn (13251)
BZmZn KECKXt (16648)
KECKXt jVocoXIsL (9692)
* Query 4
HID XdKHoeDR (8582)
XdKHoeDR BZmZn (2617)
BZmZn WDTigVeB (9633)
WDTigVeB ujDDW (396)
ujDDW xTvoBmWfIZ (1930)
xTvoBmWfIZ ivfFTH (2672)
ivfFTH VTrpTJ (2136)
VTrpTJ DkjgRIwcxq (7994)
DkjgRIwcxq SAC (5715)
* Query 5
WNxAo jMA (5827)
jMA kZTJawqiO (8682)
kZTJawqiO xTvoBmWfIZ (10418)
xTvoBmWfIZ ivfFTH (2672)
ivfFTH VTrpTJ (2136)
VTrpTJ DkjgRIwcxq (7994)
DkjgRIwcxq gKIZCDrGx (3660)
gKIZCDrGx bDiLlCen (664)
bDiLlCen cwkKt (5369)
* Query 6
SRMNhHNID gKIZCDrGx (13273)
gKIZCDrGx DkjgRIwcxq (3660)
DkjgRIwcxq VTrpTJ (7994)
VTrpTJ ivfFTH (2136)
ivfFTH xTvoBmWfIZ (2672)
xTvoBmWfIZ ujDDW (1930)
ujDDW WDTigVeB (396)
WDTigVeB BZmZn (9633)
BZmZn NNyi (23417)
* Query 7
ybKgJx lxuSX (21663)
lxuSX GHMwAaHFV (8819)
GHMwAaHFV xTvoBmWfIZ (7060)
xTvoBmWfIZ ujDDW (1930)
ujDDW WDTigVeB (396)
WDTigVeB BZmZn (9633)
BZmZn twzkPDPvbO (13251)
twzkPDPvbO nDFhIsoLX (420)
nDFhIsoLX Fmezc (15313)
* Query 8
WNxAo jMA (5827)
jMA kZTJawqiO (8682)
kZTJawqiO xTvoBmWfIZ (10418)
xTvoBmWfIZ ivfFTH (2672)
ivfFTH VTrpTJ (2136)
VTrpTJ DkjgRIwcxq (7994)
DkjgRIwcxq gKIZCDrGx (3660)
gKIZCDrGx bDiLlCen (664)
bDiLlCen cwkKt (5369)
cwkKt NlmvqhPw (7717)
NlmvqhPw eM (10219)
eM TgifarpjYO (12552)
TgifarpjYO WuWxIIvYqz (30739)
WuWxIIvYqz QTFqBbEI (23468)
QTFqBbEI KiyTxhMx (38388)
* Query 9
DkjgRIwcxq VTrpTJ (7994)
VTrpTJ ivfFTH (2136)
ivfFTH xTvoBmWfIZ (2672)
xTvoBmWfIZ ujDDW (1930)
ujDDW WDTigVeB (396)
WDTigVeB BZmZn (9633)
BZmZn KECKXt (16648)
KECKXt jVocoXIsL (9692)
* Query 10
WuWxIIvYqz TgifarpjYO (30739)
TgifarpjYO eM (12552)
eM NlmvqhPw (10219)
NlmvqhPw cwkKt (7717)
cwkKt sK (5818)
* Query 11
NNyi BZmZn (23417)
BZmZn WDTigVeB (9633)
WDTigVeB ujDDW (396)
ujDDW xTvoBmWfIZ (1930)
xTvoBmWfIZ ivfFTH (2672)
ivfFTH ueIqwja (1565)
ueIqwja MIOOpxjK (2863)
MIOOpxjK zKIKXMD (8856)
zKIKXMD Z (5007)
* Query 12
BZmZn WDTigVeB (9633)
WDTigVeB ujDDW (396)
ujDDW xTvoBmWfIZ (1930)
xTvoBmWfIZ GHMwAaHFV (7060)
GHMwAaHFV lxuSX (8819)
* Query 13
D OfoX (25130)
OfoX gKIZCDrGx (2009)
gKIZCDrGx bDiLlCen (664)
bDiLlCen cwkKt (5369)
cwkKt TtHqiPf (658)
* Query 14
k jVocoXIsL (32856)
jVocoXIsL KECKXt (9692)
KECKXt BZmZn (16648)
BZmZn WDTigVeB (9633)
WDTigVeB ujDDW (396)
ujDDW xTvoBmWfIZ (1930)
xTvoBmWfIZ ivfFTH (2672)
ivfFTH VTrpTJ (2136)
VTrpTJ DkjgRIwcxq (7994)
DkjgRIwcxq gKIZCDrGx (3660)
gKIZCDrGx bDiLlCen (664)
bDiLlCen cwkKt (5369)
cwkKt NlmvqhPw (7717)
NlmvqhPw eM (10219)
eM YQU (20769)
Case 12:
* Query 1
TKSvmSO LDkF (6054)
LDkF Al (2280)
Al WBZH (2135)
WBZH WwLcWW (1305)
WwLcWW ZEJGxdXCz (24180)
* Query 2
RmxjsIfJfi dxTM (7395)
dxTM HsmEOttb (5136)
HsmEOttb QBws (10346)
QBws Qq (6374)
Qq V (9414)
V LJlIDcl (1734)
LJlIDcl AVYlh (7393)
AVYlh mWLCLXfJj (2808)
mWLCLXfJj WwLcWW (7153)
WwLcWW WBZH (1305)
WBZH Al (2135)
Al LDkF (2280)
LDkF Aywon (149)
Aywon Hh (11231)
Hh olXloqUUQ (13423)
olXloqUUQ fQErYHE (2676)
* Query 3
OHuIfXpKlX Hr (10433)
Hr EaAEzWLd (18180)
EaAEzWLd zDjrpiNQ (12066)
zDjrpiNQ dxTM (7091)
dxTM HsmEOttb (5136)
HsmEOttb QBws (10346)
QBws Qq (6374)
Qq V (9414)
V LJlIDcl (1734)
LJlIDcl AVYlh (7393)
AVYlh mWLCLXfJj (2808)
mWLCLXfJj WwLcWW (7153)
WwLcWW WBZH (1305)
WBZH Al (2135)
Al HUz (6097)
HUz Wt (1249)
* Query 4
EaAEzWLd zDjrpiNQ (12066)
zDjrpiNQ dxTM (7091)
dxTM HsmEOttb (5136)
HsmEOttb QBws (10346)
QBws Qq (6374)
Qq V (9414)
V LJlIDcl (1734)
LJlIDcl AVYlh (7393)
AVYlh mWLCLXfJj (2808)
mWLCLXfJj WwLcWW (7153)
WwLcWW WBZH (1305)
WBZH Al (2135)
Al LDkF (2280)
LDkF pgAYJ (9117)
pgAYJ Eg (8741)
Eg Ok (3381)
Ok XrmxfvNf (5863)
XrmxfvNf CVp (2748)
CVp dSVppnBc (515)
* Query 5
lSlBDK jgu (19052)
jgu MepD (1808)
MepD v (3138)
v AWlrbWzl (7099)
* Query 6
pTOHlzt Egh (3591)
Egh Eg (134)
Eg pgAYJ (8741)
pgAYJ LDkF (9117)
LDkF Al (2280)
Al HUz (6097)
HUz Wt (1249)
* Query 7
WwLcWW mWLCLXfJj (7153)
mWLCLXfJj AVYlh (2808)
AVYlh LJlIDcl (7393)
LJlIDcl V (1734)
V Qq (9414)
Qq QBws (6374)
QBws HsmEOttb (10346)
HsmEOttb dxTM (5136)
dxTM RmxjsIfJfi (7395)
RmxjsIfJfi SNo (4817)
SNo UjMl (5869)
UjMl dnqW (5378)
* Query 8
pTOHlzt Egh (3591)
Egh Eg (134)
Eg pgAYJ (8741)
pgAYJ LDkF (9117)
LDkF Aywon (149)
Aywon Hh (11231)
Hh olXloqUUQ (13423)
olXloqUUQ fQErYHE (2676)
* Query 9
t jgu (668)
jgu MepD (1808)
MepD v (3138)
v AWlrbWzl (7099)
AWlrbWzl EMqKa (73)
EMqKa zDjrpiNQ (10416)
zDjrpiNQ dxTM (7091)
dxTM HsmEOttb (5136)
HsmEOttb QBws (10346)
QBws Qq (6374)
Qq V (9414)
V LJlIDcl (1734)
LJlIDcl AVYlh (7393)
AVYlh mWLCLXfJj (2808)
mWLCLXfJj WwLcWW (7153)
WwLcWW WBZH (1305)
WBZH Al (2135)
Al LrYxdEY (17949)
* Query 10
HUz Al (6097)
Al WBZH (2135)
WBZH WwLcWW (1305)
WwLcWW mWLCLXfJj (7153)
mWLCLXfJj AVYlh (2808)
AVYlh LJlIDcl (7393)
LJlIDcl V (1734)
V Qq (9414)
Qq QBws (6374)
QBws HsmEOttb (10346)
HsmEOttb dxTM (5136)
dxTM RmxjsIfJfi (7395)
RmxjsIfJfi SNo (4817)
SNo hY (9859)
* Query 11
TYDlvzow MepD (34392)
MepD v (3138)
v AWlrbWzl (7099)
AWlrbWzl EMqKa (73)
EMqKa zDjrpiNQ (10416)
zDjrpiNQ dxTM (7091)
dxTM HsmEOttb (5136)
HsmEOttb QBws (10346)
QBws Qq (6374)
Qq V (9414)
V LJlIDcl (1734)
LJlIDcl AVYlh (7393)
AVYlh mWLCLXfJj (2808)
mWLCLXfJj WwLcWW (7153)
WwLcWW WBZH (1305)
WBZH Al (2135)
Al LDkF (2280)
LDkF pgAYJ (9117)
pgAYJ Eg (8741)
Eg Ok (3381)
Ok XrmxfvNf (5863)
XrmxfvNf CVp (2748)
CVp zcufRN (11960)
* Query 12
ft HUz (11741)
HUz Al (6097)
Al WBZH (2135)
WBZH WwLcWW (1305)
WwLcWW mWLCLXfJj (7153)
mWLCLXfJj AVYlh (2808)
AVYlh LJlIDcl (7393)
LJlIDcl qgBarkq (1340)
* Query 13
hY SNo (9859)
SNo RmxjsIfJfi (4817)
RmxjsIfJfi dxTM (7395)
dxTM HsmEOttb (5136)
HsmEOttb QBws (10346)
QBws Qq (6374)
Qq V (9414)
V LJlIDcl (1734)
LJlIDcl AVYlh (7393)
AVYlh mWLCLXfJj (2808)
mWLCLXfJj WwLcWW (7153)
WwLcWW WBZH (1305)
WBZH Al (2135)
Al LDkF (2280)
LDkF Aywon (149)
Aywon rkUd (34340)
* Query 14
twejm QBws (7926)
QBws Qq (6374)
Qq V (9414)
V LJlIDcl (1734)
LJlIDcl AVYlh (7393)
AVYlh mWLCLXfJj (2808)
mWLCLXfJj WwLcWW (7153)
WwLcWW WBZH (1305)
WBZH Al (2135)
Al LDkF (2280)
LDkF pgAYJ (9117)
* Query 15
lSlBDK jgu (19052)
jgu MepD (1808)
MepD v (3138)
v AWlrbWzl (7099)
AWlrbWzl EMqKa (73)
EMqKa zDjrpiNQ (10416)
zDjrpiNQ dxTM (7091)
dxTM HsmEOttb (5136)
HsmEOttb QBws (10346)
QBws Qq (6374)
Qq V (9414)
V LJlIDcl (1734)
LJlIDcl AVYlh (7393)
AVYlh mWLCLXfJj (2808)
mWLCLXfJj WwLcWW (7153)
WwLcWW WBZH (1305)
WBZH Al (2135)
Al LrYxdEY (17949)
* Query 16
D exgTtN (3492)
exgTtN v (6280)
v AWlrbWzl (7099)
AWlrbWzl EMqKa (73)
EMqKa zDjrpiNQ (10416)
zDjrpiNQ dxTM (7091)
dxTM HsmEOttb (5136)
HsmEOttb QBws (10346)
QBws Qq (6374)
Qq V (9414)
V LJlIDcl (1734)
LJlIDcl AVYlh (7393)
AVYlh mWLCLXfJj (2808)
mWLCLXfJj WwLcWW (7153)
WwLcWW WBZH (1305)
WBZH Al (2135)
Al LDkF (2280)
LDkF pgAYJ (9117)
pgAYJ Eg (8741)
Eg Egh (134)
Egh pTOHlzt (3591)
pTOHlzt pEwth (7433)
pEwth teNmGY (10876)
* Query 17
HsmEOttb dxTM (5136)
dxTM RmxjsIfJfi (7395)
RmxjsIfJfi SNo (4817)
* Query 18
Ok Eg (3381)
Eg pgAYJ (8741)
pgAYJ LDkF (9117)
LDkF Al (2280)
Al WBZH (2135)
WBZH WwLcWW (1305)
WwLcWW mWLCLXfJj (7153)
mWLCLXfJj AVYlh (2808)
AVYlh LJlIDcl (7393)
LJlIDcl V (1734)
V Qq (9414)
Qq QBws (6374)
QBws HsmEOttb (10346)
HsmEOttb dxTM (5136)
dxTM zDjrpiNQ (7091)
zDjrpiNQ EaAEzWLd (12066)
EaAEzWLd USluZv (7893)
Case 13:
* Query 1
OgA AQEyAbLZYH (11388)
AQEyAbLZYH abeLbLE (21286)
abeLbLE AtkinM (13287)
AtkinM MyxIYoHQD (14431)
MyxIYoHQD MnsVPiA (13873)
MnsVPiA U (9682)
* Query 2
SiBhuhN EkLw (50168)
EkLw U (12849)
* Query 3
RQeRPWayuf AQEyAbLZYH (21797)
AQEyAbLZYH abeLbLE (21286)
abeLbLE AtkinM (13287)
AtkinM DIAiZaw (2718)
DIAiZaw fNd (94)
* Query 4
uKmIDc lifK (30526)
lifK o (20680)
o AQEyAbLZYH (11133)
AQEyAbLZYH YQHLIaWh (13982)
YQHLIaWh T (18022)
T aMPD (8476)
aMPD ZFNLY (10692)
ZFNLY RsdqJ (5693)
RsdqJ lFnwk (15522)
lFnwk KiNumyul (6393)
KiNumyul X (4814)
X TnOpQzEGv (8995)
TnOpQzEGv lpnv (23368)
lpnv cTdOlOCRm (14502)
cTdOlOCRm FpWL (2166)
FpWL ncZ (437)
ncZ lRJvS (10736)
lRJvS NsofuKvhD (10085)
* Query 5
IVhJi oVGc (34148)
oVGc JJZSPgIi (4596)
JJZSPgIi TnOpQzEGv (3203)
TnOpQzEGv X (8995)
X KiNumyul (4814)
KiNumyul lFnwk (6393)
lFnwk RsdqJ (15522)
RsdqJ ZFNLY (5693)
ZFNLY aMPD (10692)
aMPD T (8476)
T YQHLIaWh (18022)
YQHLIaWh AQEyAbLZYH (13982)
AQEyAbLZYH abeLbLE (21286)
abeLbLE AtkinM (13287)
* Query 6
UlCGeILiAL PIsc (28825)
PIsc RQeRPWayuf (1038)
RQeRPWayuf AQEyAbLZYH (21797)
AQEyAbLZYH YQHLIaWh (13982)
YQHLIaWh T (18022)
T aMPD (8476)
aMPD ZFNLY (10692)
ZFNLY RsdqJ (5693)
RsdqJ lFnwk (15522)
lFnwk KiNumyul (6393)
KiNumyul X (4814)
* Query 7
FpWL cTdOlOCRm (2166)
cTdOlOCRm lpnv (14502)
lpnv TnOpQzEGv (23368)
TnOpQzEGv JJZSPgIi (3203)
JJZSPgIi oVGc (4596)
oVGc yBZr (42744)
* Query 8
DIAiZaw AtkinM (2718)
AtkinM abeLbLE (13287)
abeLbLE AQEyAbLZYH (21286)
AQEyAbLZYH YQHLIaWh (13982)
YQHLIaWh T (18022)
T aMPD (8476)
aMPD ZFNLY (10692)
ZFNLY RsdqJ (5693)
RsdqJ lFnwk (15522)
lFnwk KiNumyul (6393)
KiNumyul X (4814)
X TnOpQzEGv (8995)
TnOpQzEGv JJZSPgIi (3203)
JJZSPgIi bfACkUbLwT (32536)
* Query 9
NaPIHFkGTn oVGc (25143)
oVGc JJZSPgIi (4596)
JJZSPgIi TnOpQzEGv (3203)
TnOpQzEGv X (8995)
X KiNumyul (4814)
KiNumyul lFnwk (6393)
lFnwk RsdqJ (15522)
RsdqJ ZFNLY (5693)
ZFNLY aMPD (10692)
aMPD T (8476)
T YQHLIaWh (18022)
YQHLIaWh AQEyAbLZYH (13982)
AQEyAbLZYH abeLbLE (21286)
abeLbLE AtkinM (13287)
AtkinM MyxIYoHQD (14431)
MyxIYoHQD MnsVPiA (13873)
* Query 10
dSoNBGh lRJvS (20720)
lRJvS ncZ (10736)
ncZ FpWL (437)
FpWL cTdOlOCRm (2166)
cTdOlOCRm lpnv (14502)
lpnv TnOpQzEGv (23368)
TnOpQzEGv X (8995)
X KiNumyul (4814)
KiNumyul lFnwk (6393)
lFnwk RsdqJ (15522)
RsdqJ ZFNLY (5693)
ZFNLY aMPD (10692)
aMPD T (8476)
T YQHLIaWh (18022)
YQHLIaWh AQEyAbLZYH (13982)
AQEyAbLZYH abeLbLE (21286)
abeLbLE AtkinM (13287)
* Query 11
T aMPD (8476)
aMPD ZFNLY (10692)
ZFNLY RsdqJ (5693)
RsdqJ lFnwk (15522)
lFnwk KiNumyul (6393)
KiNumyul X (4814)
X TnOpQzEGv (8995)
TnOpQzEGv lpnv (23368)
lpnv cTdOlOCRm (14502)
cTdOlOCRm FpWL (2166)
* Query 12
Btu aMPD (32742)
aMPD T (8476)
T YQHLIaWh (18022)
YQHLIaWh AQEyAbLZYH (13982)
AQEyAbLZYH o (11133)
o mxPZEBUp (278)
* Query 13
sdu KCpCNtqYP (3692)
KCpCNtqYP qxIUEg (357)
qxIUEg abeLbLE (19927)
abeLbLE AQEyAbLZYH (21286)
AQEyAbLZYH YQHLIaWh (13982)
YQHLIaWh T (18022)
T aMPD (8476)
aMPD ZFNLY (10692)
ZFNLY RsdqJ (5693)
RsdqJ lFnwk (15522)
lFnwk KiNumyul (6393)
KiNumyul X (4814)
X TnOpQzEGv (8995)
TnOpQzEGv lpnv (23368)
lpnv cTdOlOCRm (14502)
cTdOlOCRm FpWL (2166)
FpWL yaGiooxae (25315)
* Query 14
aMPD T (8476)
T YQHLIaWh (18022)
YQHLIaWh AQEyAbLZYH (13982)
AQEyAbLZYH o (11133)
o zYEPdGiS (77316)
* Query 15
wVgdKBgc YvSGLpb (12688)
YvSGLpb PIsc (22516)
PIsc RQeRPWayuf (1038)
RQeRPWayuf AQEyAbLZYH (21797)
AQEyAbLZYH YQHLIaWh (13982)
YQHLIaWh T (18022)
T aMPD (8476)
aMPD ZFNLY (10692)
ZFNLY RsdqJ (5693)
RsdqJ lFnwk (15522)
lFnwk KiNumyul (6393)
KiNumyul X (4814)
X TnOpQzEGv (8995)
TnOpQzEGv lpnv (23368)
* Query 16
obM o (19327)
o AQEyAbLZYH (11133)
AQEyAbLZYH YQHLIaWh (13982)
YQHLIaWh T (18022)
T aMPD (8476)
aMPD ZFNLY (10692)
ZFNLY RsdqJ (5693)
RsdqJ lFnwk (15522)
lFnwk KiNumyul (6393)
KiNumyul X (4814)
X TnOpQzEGv (8995)
TnOpQzEGv JJZSPgIi (3203)
JJZSPgIi oVGc (4596)
Case 14:
* Query 1
nvxgN mMDzpkb (1177)
mMDzpkb sYoj (200)
sYoj Fujfw (1358)
Fujfw dWvZGr (1093)
dWvZGr z (645)
* Query 2
sYoj gr (70)
* Query 3
Fujfw sYoj (1358)
sYoj mMDzpkb (200)
mMDzpkb nvxgN (1177)
* Query 4
nvxgN mMDzpkb (1177)
mMDzpkb sYoj (200)
sYoj Fujfw (1358)
Fujfw CbThVyRmzv (2698)
Case 15:
* Query 1
BbEMSD LzAD (639)
LzAD V (533)
V iek (3221)
iek XRo (2767)
XRo SVOaejEzSx (324)
SVOaejEzSx ECDXvwFePL (1336)
ECDXvwFePL Zi (1608)
Zi qjzgYnX (1930)
qjzgYnX yE (1962)
yE TmpncsTpO (1726)
TmpncsTpO AcoIlQsjsh (2062)
* Query 2
W ITIf (1043)
ITIf qjzgYnX (1510)
qjzgYnX Zi (1930)
Zi ECDXvwFePL (1608)
ECDXvwFePL SVOaejEzSx (1336)
* Query 3
yE qjzgYnX (1962)
qjzgYnX Zi (1930)
Zi ECDXvwFePL (1608)
ECDXvwFePL SVOaejEzSx (1336)
* Query 4
V iek (3221)
iek XRo (2767)
XRo SVOaejEzSx (324)
SVOaejEzSx JpdTZ (2551)
* Query 5
zXogXYdKgj SVOaejEzSx (217)
SVOaejEzSx XRo (324)
XRo iek (2767)
iek V (3221)
V LpbA (2783)
* Query 6
eCPQFYHg TmpncsTpO (3550)
TmpncsTpO yE (1726)
yE qjzgYnX (1962)
qjzgYnX Zi (1930)
Zi ECDXvwFePL (1608)
ECDXvwFePL SVOaejEzSx (1336)
SVOaejEzSx JpdTZ (2551)
* Query 7
SVOaejEzSx zXogXYdKgj (217)
zXogXYdKgj RzyydioCE (1151)
* Query 8
z yjniYtCRim (5173)
yjniYtCRim KmQPgpUkG (8095)
KmQPgpUkG iek (2018)
* Query 9
ilHPev ITIf (1220)
ITIf qjzgYnX (1510)
qjzgYnX yE (1962)
yE TmpncsTpO (1726)
TmpncsTpO eCPQFYHg (3550)
Case 16:
* Query 1
PVCmGvmBX BtktwARe (56466)
BtktwARe AIkntCYJ (9289)
AIkntCYJ XVYnjnr (31072)
XVYnjnr yJlpBmV (78161)
* Query 2
ObiHFBAPEI pnParuzYDm (16476)
pnParuzYDm NJZdlUBn (19255)
NJZdlUBn htdikVgEo (8956)
htdikVgEo amyxNqP (16242)
amyxNqP uFb (50333)
uFb VWGiPw (4604)
VWGiPw zOXNfLbXft (85753)
zOXNfLbXft hpO (41441)
hpO ZXjD (30728)
* Query 3
lU xfltTIO (12344)
xfltTIO TGdaRO (15135)
TGdaRO XVYnjnr (11514)
XVYnjnr AIkntCYJ (31072)
AIkntCYJ BtktwARe (9289)
BtktwARe KZzHcvA (14259)
KZzHcvA ag (67056)
ag jkjBWhh (14500)
* Query 4
zFrxFW qxc (37273)
qxc JPUwWoDSSL (96095)
JPUwWoDSSL DL (88002)
DL PWhqcjjE (63425)
PWhqcjjE KZzHcvA (44789)
KZzHcvA BtktwARe (14259)
BtktwARe AIkntCYJ (9289)
AIkntCYJ XVYnjnr (31072)
XVYnjnr zOXNfLbXft (46544)
zOXNfLbXft VWGiPw (85753)
VWGiPw uFb (4604)
uFb amyxNqP (50333)
amyxNqP htdikVgEo (16242)
htdikVgEo NJZdlUBn (8956)
NJZdlUBn pnParuzYDm (19255)
pnParuzYDm ObiHFBAPEI (16476)
ObiHFBAPEI brPEB (67545)
brPEB HPUa (51390)
HPUa aPdtAnqe (57896)
* Query 5
az LfxUzQJ (52381)
LfxUzQJ nnTsp (20977)
nnTsp XfYYck (18977)
XfYYck AIkntCYJ (6820)
AIkntCYJ XVYnjnr (31072)
XVYnjnr zOXNfLbXft (46544)
zOXNfLbXft VWGiPw (85753)
VWGiPw uFb (4604)
* Query 6
AewzH VXDn (74360)
VXDn XfYYck (54540)
XfYYck AIkntCYJ (6820)
AIkntCYJ XVYnjnr (31072)
XVYnjnr fAXD (82029)
fAXD fNTdoDIYiM (2552)
* Query 7
HPUa brPEB (51390)
brPEB ObiHFBAPEI (67545)
ObiHFBAPEI pnParuzYDm (16476)
pnParuzYDm NJZdlUBn (19255)
NJZdlUBn htdikVgEo (8956)
htdikVgEo amyxNqP (16242)
amyxNqP uFb (50333)
uFb VWGiPw (4604)
VWGiPw zOXNfLbXft (85753)
zOXNfLbXft XVYnjnr (46544)
XVYnjnr Sf (50737)
Sf JTARFx (52528)
* Query 8
t nnTsp (94009)
nnTsp XfYYck (18977)
XfYYck AIkntCYJ (6820)
AIkntCYJ XVYnjnr (31072)
XVYnjnr hSJk (98819)
* Query 9
YtfwL uFb (6878)
uFb VWGiPw (4604)
VWGiPw zOXNfLbXft (85753)
zOXNfLbXft hpO (41441)
hpO k (12585)
* Query 10
VWGiPw uFb (4604)
uFb amyxNqP (50333)
amyxNqP htdikVgEo (16242)
htdikVgEo nmr (84659)
nmr YJiurlgg (24451)
YJiurlgg zGzOcCNn (59629)
* Query 11
sifdr TGdaRO (91265)
TGdaRO XVYnjnr (11514)
XVYnjnr AIkntCYJ (31072)
AIkntCYJ XfYYck (6820)
XfYYck VXDn (54540)
VXDn AewzH (74360)
AewzH XvHeJOn (9502)
XvHeJOn W (84860)
* Query 12
jkjBWhh ag (14500)
ag KZzHcvA (67056)
KZzHcvA BtktwARe (14259)
BtktwARe AIkntCYJ (9289)
AIkntCYJ XVYnjnr (31072)
XVYnjnr Rrs (43824)
* Query 13
IUz ZXjD (6513)
ZXjD hpO (30728)
hpO zOXNfLbXft (41441)
zOXNfLbXft XVYnjnr (46544)
XVYnjnr fAXD (82029)
fAXD fNTdoDIYiM (2552)
* Query 14
x PVCmGvmBX (16621)
PVCmGvmBX BtktwARe (56466)
BtktwARe KZzHcvA (14259)
* Query 15
Cf bLuUUi (70593)
bLuUUi DL (40242)
DL PWhqcjjE (63425)
PWhqcjjE KZzHcvA (44789)
KZzHcvA BtktwARe (14259)
BtktwARe AIkntCYJ (9289)
AIkntCYJ XVYnjnr (31072)
XVYnjnr fAXD (82029)
fAXD VVb (85367)
* Query 16
hpaJYMBDpk W (79828)
W XvHeJOn (84860)
XvHeJOn AewzH (9502)
AewzH VXDn (74360)
VXDn XfYYck (54540)
XfYYck AIkntCYJ (6820)
AIkntCYJ BtktwARe (9289)
BtktwARe KZzHcvA (14259)
KZzHcvA PWhqcjjE (44789)
PWhqcjjE DL (63425)
DL bLuUUi (40242)
* Query 17
iI BtktwARe (29071)
BtktwARe KZzHcvA (14259)
KZzHcvA ag (67056)
* Query 18
KZzHcvA BtktwARe (14259)
BtktwARe AIkntCYJ (9289)
AIkntCYJ XVYnjnr (31072)
XVYnjnr zOXNfLbXft (46544)
zOXNfLbXft VWGiPw (85753)
VWGiPw uFb (4604)
uFb amyxNqP (50333)
amyxNqP htdikVgEo (16242)
htdikVgEo NJZdlUBn (8956)
NJZdlUBn pnParuzYDm (19255)
pnParuzYDm ObiHFBAPEI (16476)
ObiHFBAPEI LQz (96231)
Case 17:
* Query 1
SI eBALIdMT (429)
eBALIdMT QHOHSMAfv (1989)
QHOHSMAfv PCZVdPs (2224)
PCZVdPs vagXCpA (527)
vagXCpA X (1978)
X uciEAG (2471)
uciEAG bkSxhrDogn (877)
* Query 2
SI eBALIdMT (429)
eBALIdMT QHOHSMAfv (1989)
QHOHSMAfv PCZVdPs (2224)
PCZVdPs vagXCpA (527)
vagXCpA X (1978)
X oakVF (2371)
* Query 3
tTduVkJZt rk (483)
rk X (2446)
X uciEAG (2471)
uciEAG bkSxhrDogn (877)
bkSxhrDogn ViEzBYUtSy (6198)
* Query 4
U dY (5265)
dY eBALIdMT (4256)
eBALIdMT QHOHSMAfv (1989)
QHOHSMAfv PCZVdPs (2224)
PCZVdPs vagXCpA (527)
vagXCpA X (1978)
X rk (2446)
* Query 5
uciEAG X (2471)
X vagXCpA (1978)
vagXCpA PCZVdPs (527)
PCZVdPs QHOHSMAfv (2224)
QHOHSMAfv eBALIdMT (1989)
eBALIdMT dY (4256)
Case 18:
* Query 1
sxgLrA wQB (14906)
wQB MyZ (131)
MyZ GWFSkWJ (8684)
GWFSkWJ CJqK (11091)
CJqK bmmdYet (13127)
* Query 2
AgAMGIeav eoKxnpkOct (16316)
eoKxnpkOct nGs (2613)
nGs jYSW (3232)
jYSW QqOQ (3978)
QqOQ wQB (8234)
wQB MyZ (131)
MyZ GWFSkWJ (8684)
GWFSkWJ tqskDEoCBf (14388)
tqskDEoCBf v (17148)
v x (952)
* Query 3
smTmNYndQ QqOQ (12927)
QqOQ jYSW (3978)
jYSW nGs (3232)
nGs eoKxnpkOct (2613)
* Query 4
sxgLrA wQB (14906)
wQB MyZ (131)
MyZ GWFSkWJ (8684)
GWFSkWJ CJqK (11091)
CJqK bmmdYet (13127)
* Query 5
nU eoKxnpkOct (5440)
eoKxnpkOct nGs (2613)
nGs jYSW (3232)
jYSW QqOQ (3978)
QqOQ wQB (8234)
wQB MyZ (131)
MyZ GWFSkWJ (8684)
GWFSkWJ tqskDEoCBf (14388)
tqskDEoCBf v (17148)
v EeuVCQP (17127)
* Query 6
EeuVCQP v (17127)
v tqskDEoCBf (17148)
tqskDEoCBf GWFSkWJ (14388)
GWFSkWJ MyZ (8684)
MyZ wQB (131)
wQB QqOQ (8234)
QqOQ jYSW (3978)
jYSW nGs (3232)
nGs eoKxnpkOct (2613)
eoKxnpkOct nU (5440)
* Query 7
QqOQ NSwhBPIW (16403)
NSwhBPIW R (11627)
R xe (443)
* Query 8
nU eoKxnpkOct (5440)
eoKxnpkOct nGs (2613)
nGs jYSW (3232)
jYSW QqOQ (3978)
QqOQ wQB (8234)
wQB MyZ (131)
MyZ GWFSkWJ (8684)
GWFSkWJ CJqK (11091)
CJqK cLVkei (10173)
* Query 9
smTmNYndQ QqOQ (12927)
QqOQ jYSW (3978)
jYSW nGs (3232)
nGs eoKxnpkOct (2613)
eoKxnpkOct nU (5440)
nU GI (565)
Case 19:
* Query 1
eJyf HUAmUCnSGm (234)
* Query 2
eJyf DLJAyj (1452)
* Query 3
DLJAyj eJyf (1452)
eJyf REsV (39)
REsV GkpcAfiM (789)
